org_key,raw_org_name,source_file,wave_date,theme,question,answer,canonical_org_id,org_name
cleanpathafrica,CleanPath Africa,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,I have learnt that we should not invest too much in product manufacturing and spending thousands in improving a product that might not even surface in the market. It is imprinted in me that we should rather focus more on the customer and their needs instead.,org_001,CleanPath Africa
clearwaveafrica,ClearWave Africa,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,"The program has helped me to reshape ClearWave Africa into an impact, formulate new strategy and develop impact measurement tools to be able to monitor and track our impact.",org_002,ClearWave Africa
cleanpathafrica,CleanPath Africa,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,I more confident to do work with different stakeholders and to use business tools like IMM framework or Strategy document. . Oh I loved learning about testing assumptions assumptions during strategy session. Now I have the tools to quickly test our assumption and learning from those insights using test cards.,org_001,CleanPath Africa
purecircleinnovations,PureCircle Innovations,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,Understanding how to navigate the new phase we entering as a business.,org_003,PureCircle Innovations
purecircleinnovations,PureCircle Innovations,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,"To be more intentional about my purpose, brand purpose and core values.",org_003,PureCircle Innovations
evergreenaccess,EverGreen Access,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,"Connections, and providing clarity.",org_004,EverGreen Access
purecircleinnovations,PureCircle Innovations,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,"Network has been great, has been inspirational and gained good insight in M&E best practices.",org_003,PureCircle Innovations
thrivewatergroup,ThriveWater Group,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,"IMM development, a clear TOC, really understanding our customer and the impact, importance of partnership and cross-collaboration, WASH focus content",org_005,ThriveWater Group
evergreenaccess,EverGreen Access,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,Change in focus as explained above.,org_004,EverGreen Access
freshstartenterprises,FreshStart Enterprises,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,I have a broader understanding of the sector I work in,org_006,FreshStart Enterprises
freshstartenterprises,FreshStart Enterprises,AP1_April_2023_SA__Knowledge___Behaviour.csv,2023-04,Programme benefit,In what ways has the program benefitted you?,"I have a better sense of the next couple of months in terms of how we will scale, how we will manage impact measurement and assure excellent quality",org_006,FreshStart Enterprises
