Name;Notes;Assignee;Status;On a scale from 0-10, how much has the Aurelia programme that your organisation participated in impacted you since it concluded?;Please elaborate on how the programme has impacted your work to date;How many beneficiaries is your organisation currently reaching?;What percentage of your beneficiaries are women?;Do you have any other impact data you would like to share?;How much runway (in months) do you currently have? i.e Current Cash Balance ÷ Monthly Total Expenses in USD;What is your monthly recurring revenue (average, last 6 months) in USD ;What are your top 3 needs as an organisation at the moment?;Is there anything else you would like to share with us, anything you are proud of or excited about (such as new milestones, awards, project launches etc.)?;How many people has your organisation reached one year ago (approx. October 2024)
Meadowlight Ventures;;;;10;It has given us a clear sense of purpose and direction. We have horned the ability to run our operations better especially when it comes to tracking our impact measures;52000;30%;We have reduced the level of unnecessary hospitalization by discovering problems early by about 50% of the people who subscribed to our wellness program;12 months;$5,000;"To boost the capacity of the platform for the massive onboarding coming in late October-Operational
To hire more qualified staff in the customer service unit to address our increased uptake 
To be able to maintain quality of services we are known for-Need funding";We are in full partnership with MTN to launch our services on their platform to over 899k SMEs and 85 million individual users;
EcoBridge Innovations;;;;8;"Aurelia’s mentorship and support have been pivotal to EcoBridge Innovations’s growth and scale in recent years. Their guidance enabled EcoBridge Innovations to transition from a donation-dependent non-profit into a hybrid, financially sustainable social enterprise. This shift has allowed us to sell high-tech solutions, like H2O Air units in urban areas, and channel the profits to expand safe water access in underserved rural communities.

EcoBridge Innovations’s journey has also evolved from offering a single low-tech solution, the H2O Wheel, to building a holistic portfolio of water innovations. Today, alongside the Wheels, we are implementing high-tech systems such as solar-powered pumps and air-to-water dispensers. This progression from simple rollers to smart systems has strengthened both our reach and resilience.

The mentorship component of the program was especially impactful. Aurelia helped EcoBridge Innovations refine its Theory of Change, sharpen business strategy, and strengthen impact measurement. Their hands-on feedback also improved branding, educational materials, and overall positioning. This support directly contributed to our success on Shark Tank Pakistan, where we presented a strong financial model, delivered a compelling pitch, and secured Aurelia’s commitment to pilot our first H2O Air units. As a result, we not only attracted investment but were also recognized as one of the most inspirational pitches on the show.

Beyond mentorship, Aurelia’s PR and visibility support proved invaluable. Their local outreach amplified our voice through media coverage, while their network connected us with social entrepreneurs and stakeholders critical to scaling EcoBridge Innovations’s work.

The targeted funding through Aurelia was another turning point. With this support, EcoBridge Innovations delivered over half a billion litres of safe water and directly reached more than 4,000 people by deploying 540 H2O Wheels, 540 hygiene kits, and one solar-powered water facility in Rajanpur, one of Pakistan’s most deprived and climate-vulnerable regions.

Finally, Aurelia continues to open global doors for EcoBridge Innovations through partnerships such as Silverline Capital Social Business. This recognition provides not only visibility but also tangible opportunities to scale our water solutions internationally.

In sum, Aurelia’s mentorship, funding, visibility, and partnership ecosystem have been instrumental in transforming EcoBridge Innovations from a small, donation-dependent initiative into a resilient, scalable social enterprise delivering holistic, high-tech water solutions.
";480726;70%;"Through LoFi’s support, 9000+ lives impacted recently through the provision of H2O Wheels and H2O Solar in climate-stressed regions of Umerkot, Jacobabad and Kharan.

From the WASH Wellness Program with Aurelia, the impact numbers were:
- 40% decrease in water-borne diseases.
- 75.5% increase in reported happiness and 4.2% increase in feelings of hope
- 100%  increase in average household income, with 1.8% Increase in own businesses & 49% decrease in daily labor work
- 58.9% improvement in gender equity.
";8-9;14000;"To achieve our H2O Mission of lifting 25 million people out of water scarcity, EcoBridge Innovations’s top three current needs are:

1) Expanding strategic partnerships internationally - bringing H2O Solutions to regions facing similar water challenges as Pakistan, such as parts of Africa and Sub-Saharan Africa.

2) Scaling our revenue-generating model through H2O Air - creating a sustainable channel to reinvest profits into serving rural communities.

3) Enhancing visibility and impact recognition -  especially around H2O Air, to ensure we reach the right customers and maximize both market presence and social impact.
";"We are excited to share some important upcoming milestones. H2O Air has reached the finals of the Unlock Her Future Prize 2025 by The Bicester Collection, where we are among the top two finalists from Pakistan. This year, the prize is supported by Shoka South Asia, Oxford University’s Saïd Business School, and UN Women, and we look forward to making the most of this opportunity.

We will also be sharing our journey at the One Young World stage in Munich, with some announcements planned on that front. In addition, our project under the Youth4Climate Award by UNDP is beginning soon, where we will pilot blockchain and digital wallet–powered resource distribution to support financial inclusion for rural women in Pakistan.

Finally, the H2O Air Launch Event in partnership with Aurelia is also under planning, which we are very excited to bring to life.";
Novaterra Solutions;;;;6;The program provided us with seed funding of $30K in 2024 and supported a business relationship with PureGuard Kenya in 2025 worth $20K. Through the PureGuard partnership, Ambulex has attracted other stakeholders and possible collaborators interested in delivering healthcare and hygiene solutions within the country. The Aurelia program was also the first institutional investor into us which provided legitimacy to help us gain more supporters.  We were able to reach more households with our services, especially over 1,000 pregnant mothers. ;110000;66%;;3;$60500;"1. Working capital to scale through public sector 
2. Partnerships and collaborations to enable public sector scale 
3. Organizational capacity development to handle scale. ";Our CEO, Judith was named as one of Business Daily Top 40 Under 40 Women in Kenya and one of the Top 10 Faces Changing Africa by StArfrica;
LifeSpring Innovations;;;;8;The Accelerator has greatly enhanced our knowledge and strengthened our confidence in engaging with key stakeholders and partners. The community continues to provide a valuable platform for learning, sharing ideas, and exchanging best practices.;3350;40%;"1. Provide access to clean toilets and shower facilities to 3,350 users daily
2. Share hygiene/health education with 3350 users of our facilities daily
3. Created 7 new jobs in the last 5 months
4. Trained 35 change agents/ambassadors to promote safe sanitation in their communities
5. Raised awareness of an audience of 5,000 people (drawn from markets, transport hubs and communitues) in Abule Egba Community.";3 months;4686.41;"1. Access to funding to scale our business
2. Capacity building & technical support on revenue collection
3. Strategic partnerships for additional revenue streams";"Since completing the cohort, we have commenced the installation of a container-based public convenience at the Abule Egba Bus Lay-by in Lagos. 
This pilot project, delivered in partnership with SolarBridge Technologies, represents a significant milestone — it marks the start of local manufacturing of SolarBridge Technologies biodigesters in Nigeria.";
AquaVantage Group;;;;10;The program has delivered a substantial and multifaceted impact on AquaVantage Group's operations, leading to both tangible operational expansion and a strengthening of our core business foundation necessary for sustained, structured growth. On the expansion front, the financial support has directly translated into measurable growth: we have successfully expanded our operations to include 6 new clients who received the EcoToilet through the fund. These new units are now collectively serving an estimated 20 households, which represents a clear, quantifiable jump in our direct social impact. This expanded client reach has directly led to increased revenue generation, indicating stronger commercial viability and a clearer pathway to financial sustainability. Simultaneously, the focus on soft skills and strategic development has been instrumental in professionalizing our operations. The skills training was crucial in bringing our operations into line with best practices, suggesting better internal coordination and standardized processes. We have successfully leveraged the program to build an effective strategic partnership with the local utility, a massive asset that can streamline logistics and facilitate future scale. Finally, the development and implementation of a customer relation platform shows a commitment to long-term client satisfaction, a system that is key to efficiently managing the Lease-to-Own (LTO) model. In summary, the program's influence has moved AquaVantage Group from early traction into a phase of structured scaling, where growth is supported by stronger internal systems and critical external partnerships.;1500;70; we leveraged the Hygiene program to establish a strategic commission-based partnership with Community Health Promoters (CHPs), transforming them into our external sanitation marketers beyond the initial training. This incentivized referral system has been highly effective, leading to 300 clients served last month through our pit emptying service alone. This proves the scalability of our commercial model.;1440;1400;"1. Atract impact investment
2. Invest more in our Marketing strategies
3. Increase the number of clients served by 20%
4. Rollout the second phase of the Aurelia Supported program to be able to install the five more toilet and the hgyiene campaigne has earlier planned";We are eagerly waiting for the second phase disbursement.;
GreenWave Enterprises;;;;8;We believe that the learning gained from the program resonates with our current actions, in addition to the financial support provided, which helped us achieve greater impact and make some internal improvements.;41616;52%;;5;28428,09;Sales, a calmer cash register and a more robust team;;
Brightfield Enterprises;;;;10;The Aurelia programme really helped us sharpen how we measure impact and engage our communities. The masterclasses and workshops gave us practical tips on scaling operations, managing finances, and connecting with customers. We also got exposure to potential partners and learned ways to communicate our work more effectively. Overall, it made our healthcare delivery smarter and more focused.;6396781;60;"200K+ patients screened and provided continuity of care at Health Camps

1M+ customers actively using SMS-to-doctor service for primary healthcare and tips

12K+ patients enrolled in our Chronic Care Program

8K+ doctors and healthcare providers onboarded

$280K monthly recurring revenue

57% of customers invested in health insurance";"Over 6 months; we are profitable and broke-even";$280,000;"Expanding operations to more regions

Strategic partnerships and collaborations

Access to patient financing and working capital";Proud of reaching millions with health education, improving access to care, and supporting informed health decisions. The programme has helped us scale sustainably and amplify our impact.;
FreshStart Enterprises;;;;10;By introducing us to potential new partners and through seed funding. ;187112;54;;2;1250000;"A new COO
Logistics Setup 
Team mentos";;
BlueHorizon Water;;;;10;"The Aurelia Access Accelerator helped us refine how we approach innovation, it helped us to better integrate data, technology, and user feedback into our product design and decision-making processes. Through the master classes we gained deeper insight into scaling digital health solutions sustainably, which directly informed the optimization of Lola AI and our diagnostic platforms.
Most importantly, the programme reinforced our confidence as a leading a health technology company, directly women's health issues in Nigeria.";10031;60%;"Over the past three years, Healthtracka has made measurable progress in expanding access to healthcare for underserved populations across Nigeria. We have developed and launched three innovative self-sampling kits for major health conditions, including STIs (HIV, Chlamydia, Gonorrhea, Syphilis, and Hepatitis B), UTIs, and HPV. Alongside these, we built digital solutions such as Caretracka to monitor diagnostic supply chains in real time, PATH (Partner Portal) to support healthcare providers, and the Healthtracka app, which makes accessing diagnostics even simpler. We also created and deployed Lola AI, an innovative menstrual and reproductive health companion on WhatsApp, reaching over 2500 women and girls with menstrual and sexual health education support. To date, we have reached over 7000 registered users and delivered over 100,000 at-home diagnostic tests. We have screened more than 1,500 women in low-income communities for cervical cancer using our HPV kits, and partnered with over 80 community pharmacies to make discreet STI testing more accessible. 
-Beyond diagnostics and innovation, we have reached over 1,000 women through our annual Banking on Women’s Health Conference and Pinky Friday events, expanded our services to 24 states across Nigeria, and produced the country’s first State of Women’s Health Report. These milestones demonstrate our impact in breaking barriers, decentralizing healthcare, and putting life-saving diagnostics within reach for millions.";12 months;22199.47;"Strategic Partnerships and Market Expansion: We are seeking partnerships with governments, corporates, and global health organizations to strengthen our supply chain, integrate with national health systems, and expand diagnostic and women’s health services to new markets.

Scale-up Funding: We seek catalytic funding to expand  access to essential services to underserved regions across Nigeria and Sub-Saharan Africa.";A new milestone we are excited about is the expansion of on our Banking on Women's Health Conference beyond Lagos to Kaduna;
TrueNorth Impact;;;;9;"One of the most valuable components has been the mentorship we received. We still have access to the programme’s experts, and we regularly consult them for guidance on different operational and strategic issues. This ongoing support continues to strengthen our decision-making and organisational capacity.

The programme also helped us kickstart our schools project, which has been one of our most impactful initiatives. Through this project, we have been able to reach schools and provide students with access to safe, clean drinking water. In addition, the programme opened doors to the wider community and key stakeholders, including parents, teachers, and local leaders. This has improved trust, visibility, and long-term engagement in the areas we serve.";51265;33322;;0.4;57,501;"Endorsement by the Ministry of Health
An official endorsement would validate our efforts in promoting healthy communities and increase trust among institutions, partners, and beneficiaries. It would also help us scale our work more effectively within the public health ecosystem.

Access to Funding and Strategic Partnerships
Additional financial support and collaboration with like-minded partners would enable us to reach more communities, enhance our operations, and implement larger-scale programmes with measurable outcomes.

Intensive Marketing and Public Awareness
There is still low awareness of our products and their health benefits. Increased marketing support would help us build brand visibility, educate the public, and drive both community adoption and sustainability through retail channels.";We are also excited to share that we are now moving into the next phase of our fluoride project. We will soon launch the first household-level fluoride-removing water filter in Kenya, which is a major milestone for us and for the communities affected by high fluoride levels.;
